ship_mode,segment,country,city,state,postal_code,region,category,sub_category,sales,quantity,discount,profit,authenticator
Standard Class,Corporate,United States,Tallahassee,Florida,32303,South,Office Supplies,Paper,62.192,13,0.2,19.435,88bc00e5-adcd-4270-8977-037ec947073a
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Binders,23.88,6,0.0,11.2236,119695ee-039f-441d-a30a-acf75d61bbf1
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,3.168,2,0.8,-4.752,3380f0d7-a2c2-46ba-9661-cf9870d43f0b
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,0.3,0.0,cdc451a4-f617-4e7f-9e19-6a870c74334c
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Art,13.392,3,0.2,1.5066,d588292e-8ff5-4a56-bbba-877324d66e43
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,181.86,7,0.0,50.9208,46c20814-72aa-47b4-8bc4-83e62b2ae399
Standard Class,Consumer,United States,Fort Collins,Colorado,80525,West,Furniture,Bookcases,180.588,2,0.7,-240.784,15cb0a04-1c4b-4165-9abf-ac0f07cf1163
Standard Class,Consumer,United States,Fort Collins,Colorado,80525,West,Technology,Accessories,47.984,2,0.2,0.5998,9406792d-3a93-41c7-93be-bbb3c5ae9c2f
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,18.76,2,0.0,9.0048,bcdb2224-bfb1-4fd8-a4cb-081cea09d5f9
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,20.94,3,0.0,6.0726,03b0beff-f453-41e5-8d1f-7163c1ea7841
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,58.68,2,0.0,18.1908,b50a05b6-b494-49bb-a99f-97488459e0e7
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Appliances,254.9,5,0.0,68.823,9fb8e891-0c1c-4ee5-ac99-a2dd94f775db
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Binders,9.64,2,0.0,4.4344,f7656c2d-6871-41c6-a903-0abc3a6af179
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Technology,Accessories,826.62,3,0.0,355.4466,3c33feb0-4fec-44aa-b0d9-007a7b1b4eef
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,1633.14,9,0.0,473.6106,c45c6751-c972-4086-b163-c9016487b7f1
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,544.38,3,0.0,157.8702,3891823e-8084-4278-9ac7-7badae6722aa
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782,6784c7a1-bf68-4ac8-b69d-4c474a90bd16
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,74.352,3,0.2,26.9526,2de4ab5a-0138-4907-93f7-192a2a796ebc
Standard Class,Corporate,United States,Lowell,Massachusetts,1852,East,Technology,Phones,69.93,7,0.0,32.1678,6129ddac-60d6-41cb-817f-fed2da136a1c
Second Class,Corporate,United States,Woodland,California,95695,West,Office Supplies,Labels,3.75,1,0.0,1.8,98bb5b15-d5d5-404b-833f-a7fad5c5d69b
Second Class,Corporate,United States,Woodland,California,95695,West,Office Supplies,Binders,20.928,4,0.2,7.5864,0bd7011a-ac7c-4bd5-a207-45205d3f4f0f
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Storage,12.672,3,0.2,-3.168,f3e8a0ba-4492-43ab-9951-e8fe9fd5c9c9
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Phones,65.99,1,0.0,17.1574,1c670c26-73d8-426d-ad35-2e76dc6dc635
Standard Class,Corporate,United States,Missouri City,Texas,77489,Central,Office Supplies,Binders,6.37,7,0.8,-9.555,3ee9d3d8-57a5-4b7e-9d63-a3ccdce6d3c7
First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Binders,3.648,3,0.8,-6.0192,c1a67229-c696-4bc9-bab5-aac65e559a08
First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Paper,31.104,6,0.2,10.8864,242e3f4f-95e7-4b82-a643-7bf4425eea29
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Fasteners,23.34,3,0.0,0.2334,23a27696-057e-42d9-a991-f9bc8a10402f
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Phones,29.97,3,0.0,14.0859,04caaf45-7ebf-4f94-915e-6d12a2176a94
Same Day,Consumer,United States,Tempe,Arizona,85281,West,Office Supplies,Binders,3.366,3,0.7,-2.244,7356f47c-98e5-4b69-ac4d-24e132904974
Standard Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Phones,95.968,4,0.2,9.5968,6cc6809e-ed0e-4e07-9d5e-cc8a277500cc
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,18.704,7,0.2,2.338,f613110f-af49-49dd-ab0d-b3ff5b7536c2
Second Class,Consumer,United States,Akron,Ohio,44312,East,Furniture,Furnishings,149.232,3,0.2,3.7308,338231c6-858f-4b76-b355-586d6ffc609d
Second Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,15.936,4,0.2,5.7768,c45f5302-00fa-42d0-9eed-9e6ea7c40258
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Phones,601.536,8,0.2,60.1536,3810ed8a-0756-4079-b445-e016a91ff936
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Accessories,10.99,1,0.0,4.2861,0ab8f8a0-ff1d-451a-9aa9-4ff199b5152e
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Furnishings,39.88,2,0.0,11.1664,878ee1d0-f0b7-4f56-9e28-4accdeb7851b
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,62.24,8,0.0,28.008,e5794482-3863-46b7-a5c7-a3b0741c1301
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Furnishings,53.2,5,0.0,14.896,5e4368c1-f7fe-4b75-abe7-7969df8b4bb6
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Labels,39.84,8,0.0,18.3264,b7b33e12-0c6f-4292-b6e3-1265d4c38281
Standard Class,Corporate,United States,Fresno,California,93727,West,Technology,Accessories,349.95,5,0.0,118.983,448293fe-44fa-4a98-9d63-62891c7c743f
Standard Class,Corporate,United States,Fresno,California,93727,West,Technology,Phones,377.928,9,0.2,141.723,aa0708d9-3332-4fcd-a572-36f6e00645fc
Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Envelopes,13.392,3,0.2,5.022,7ba5f1c8-903f-4a96-bf8f-44bf575a93dc
Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Binders,11.228,7,0.8,-18.5262,6064a1a4-d0f7-443d-923a-90abb0d992ae
Standard Class,Consumer,United States,Richmond,Indiana,47374,Central,Office Supplies,Appliances,207.24,11,0.0,58.0272,070b43ff-09e8-4edd-8c11-18d07cdc8308
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,1.504,1,0.2,0.1692,45a691e1-fd12-475f-a9e0-d30f2760b59d
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,34.848,2,0.2,6.534,d17370f1-14b4-4eb8-9bb5-b46efbdddd0f
First Class,Consumer,United States,San Mateo,California,94403,West,Office Supplies,Labels,75.18,6,0.0,35.3346,e208a826-deb2-4d1d-b893-d376db02e4e5
Standard Class,Consumer,United States,Oakland,California,94601,West,Technology,Accessories,149.97,3,0.0,52.4895,abeee21b-6e4f-4d25-8e51-69e636e9e893
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Binders,931.176,3,0.2,314.2719,a6ad25e0-f1b6-4739-8871-05ff79d5510e
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,430.88,2,0.0,124.9552,23600264-9f14-4214-a87d-47328763d3eb
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Office Supplies,Paper,94.85,5,0.0,45.528,f12e33c1-edd5-473d-adbf-d8fc2d8c4f81
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Office Supplies,Envelopes,51.12,4,0.0,23.004,f0aeb700-6fb2-4fa5-b8c3-d7c688999706
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Technology,Accessories,90.0,1,0.0,32.4,f8284033-2701-4321-ad9e-872b1fb2ad7b
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Paper,9.408,2,0.2,3.4104,d4049998-2ac1-4b6d-b914-a1b0d9159c61
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Fasteners,4.672,2,0.2,1.46,5e1d80e2-01d7-45ff-ba6f-8e4e5c1aae7e
First Class,Corporate,United States,Tempe,Arizona,85281,West,Technology,Phones,318.4,2,0.2,107.46,833f8657-2622-42c8-b514-5e9680945e91
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Envelopes,12.768,6,0.2,4.6284,109e497f-01fe-449c-ae20-8d4473788056
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Supplies,15.36,2,0.2,-3.264,745aca23-9610-4d27-8fb5-8a34dccd3028
First Class,Corporate,United States,Tempe,Arizona,85281,West,Technology,Phones,230.376,3,0.2,20.1579,66c61f48-5c2f-4d9c-92ec-7ba589c81dfc
First Class,Corporate,United States,Tempe,Arizona,85281,West,Technology,Accessories,7.16,1,0.2,-0.0895,87853199-2a0c-4595-92da-21b9bdbc3f54
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Storage,375.34,1,0.0,18.767,53414017-6da0-4fa0-b581-0c86f18a9e51
Second Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,114.9,5,0.0,39.066,65332d68-8b18-4fa4-90a0-572c221c74b1
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782,1237298a-f82a-4ce8-aeb6-d6105c508f72
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,2.896,1,0.8,-4.7784,fca69467-82dd-4866-8d1b-c044391acb4d
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Storage,32.544,2,0.2,-7.7292,1b8fe291-afa1-4842-85d5-e81107189756
First Class,Consumer,United States,Riverside,California,92503,West,Office Supplies,Binders,3.984,1,0.2,1.3944,03ab8925-f01d-48d1-ad94-424e7d2cc26e
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Furniture,Tables,181.797,1,0.3,-15.5826,4bd723ca-9642-4013-bf9c-6c41eee388b5
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,44.94,3,0.0,12.5832,d65ad328-6fb3-41e1-a57e-5de0b852b894
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,45.576,3,0.2,15.9516,a9e0107f-f60f-4a64-9999-404ac4c462a3
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Chairs,318.43,5,0.3,-77.333,c4475040-5072-4cda-bd9d-f401647f7039
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Technology,Phones,122.92,7,0.2,46.095,714cbde2-40b7-4ebf-b90e-b49e94521785
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Furnishings,7.068,3,0.6,-2.8272,b33f93f3-415a-416a-891d-e230fa9c0b14
First Class,Corporate,United States,Arlington,Virginia,22204,South,Office Supplies,Storage,56.45,5,0.0,14.677,42134b32-169f-4af5-ac54-75403cf9add1
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,13.468,13,0.8,-22.8956,675f8ea2-fb61-4900-92ef-5a492c9799ec
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Technology,Phones,219.8,5,0.2,24.7275,65d2e582-781c-4ba4-b115-28a04db50268
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Chairs,317.058,3,0.3,-18.1176,787bd22d-9d24-4ab1-8d79-5a55fa47a2a7
Second Class,Corporate,United States,Seattle,Washington,98103,West,Technology,Accessories,49.08,3,0.0,4.908,8e2a0e35-5687-4245-bf45-7e4b57bef6a2
Second Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Storage,324.9,5,0.0,38.988,02bf8d07-8796-4128-95f5-ba1db404479e
Second Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Art,18.24,3,0.0,5.2896,e3bc6cdf-75cd-4324-adc0-d96d418a2a21
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Furniture,Chairs,113.888,2,0.2,9.9652,a7e015a7-fe38-42b5-8209-3966cc6b33bf
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Technology,Phones,105.584,2,0.2,7.9188,8fdd4153-107a-401b-9a82-d3f79c27e992
Standard Class,Corporate,United States,Grand Rapids,Michigan,49505,Central,Office Supplies,Fasteners,24.85,7,0.0,11.6795,197227a9-904c-4bc8-8123-e183c821d103
First Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,60.312,3,0.2,5.2773,62a32675-28f0-4466-8ead-519b2ee89043
Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7.056,3,0.2,2.205,afc82a2a-e75a-4ec5-80e9-ea30cbabaae7
Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Phones,27.184,2,0.2,2.0388,70f86b86-f6e2-4bfa-8432-07ac5afb63e8
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Phones,107.984,1,0.2,9.4486,2006823a-a4e5-4e1f-8506-abf57c897dbf
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,19.296,3,0.2,6.03,2bed06d3-f790-4a94-9d48-5bbc92017fb4
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Labels,4.608,2,0.2,1.6704,e4759c71-f927-4de3-abfc-4de72dcd138c
Second Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Tables,79.974,3,0.4,-29.3238,8e870d98-69b4-4912-8d5c-50df91e4c3c2
Second Class,Corporate,United States,Franklin,Tennessee,37064,South,Office Supplies,Binders,2.946,2,0.7,-2.0622,d50bd27e-eedd-4c7e-8b0a-d15f2bac31b2
Standard Class,Home Office,United States,Highland Park,Illinois,60035,Central,Office Supplies,Binders,3.136,2,0.8,-4.704,3cd951b0-5f3a-4af7-b014-07c94135f14c
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Office Supplies,Paper,20.736,4,0.2,7.2576,2c6eb2fa-4ab9-4724-b80f-ff69a0bbdafa
First Class,Corporate,United States,San Francisco,California,94109,West,Technology,Accessories,99.98,2,0.0,7.9984,64f02f2b-5320-4686-b6f5-c109935ff83e
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,733.95,7,0.0,352.296,093407d7-0204-43e0-b147-94e109ddad93
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Appliances,241.44,3,0.0,72.432,b64c24a5-6981-43de-b287-c8c18be7b8ad
Second Class,Corporate,United States,Miami,Florida,33180,South,Office Supplies,Labels,10.08,4,0.2,3.528,fd642cec-effa-4bbd-9222-8b32673b1116
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,281.904,2,0.2,10.5714,8c5a6236-596b-4b44-8eb7-4cbe1fdb8f1e
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Envelopes,201.432,3,0.2,67.9833,c5241cb1-5731-41fa-b912-44b2ee8053de
Standard Class,Consumer,United States,Decatur,Alabama,35601,South,Technology,Phones,135.98,2,0.0,33.995,4d30c11e-e28c-487f-96ff-dc99ff1cb885
Standard Class,Consumer,United States,Decatur,Alabama,35601,South,Technology,Phones,44.95,1,0.0,12.586,8233577c-5882-4c82-984d-dad481f717fd
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Technology,Accessories,2.97,3,0.0,1.3068,bbbe33a3-0f73-49d2-8ebd-f79d37f0352b
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Fasteners,6.54,3,0.0,2.6814,2a3fbc74-0636-4c34-8736-b6e756e0487e
Second Class,Corporate,United States,Visalia,California,93277,West,Technology,Accessories,7.92,8,0.0,3.4848,8fdb46a2-a5b8-43e8-b0c4-0f53a635a6d3
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Chairs,203.92,5,0.2,22.941,64779403-67dc-4023-97f9-d560c367169a
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Copiers,3359.952,6,0.2,1049.985,01cfbe92-f92e-4883-9f2c-7674315e0687
Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Fasteners,18.24,3,0.0,9.12,a53e6d36-070f-4790-8252-b6e54449818d
Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Art,27.78,6,0.0,9.1674,54ffd7ff-373b-4a52-9dde-0bf537b493c8
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Art,22.96,7,0.0,7.5768,c2f878a6-b519-4d12-ad2e-e75155d2471e
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Technology,Phones,28.99,1,0.0,8.4071,9ea27291-3e73-4b19-94eb-c65cc378efdb
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Paper,12.96,2,0.0,6.3504,fc934ac4-3275-4e7e-a005-20907040a126
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Art,22.96,7,0.0,6.6584,ce607b3e-c83f-48ba-ad26-756f9b1c46da
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Supplies,4164.05,5,0.0,83.281,9b4f48b9-aa12-49b5-888b-3a02b40c2339
Standard Class,Consumer,United States,Raleigh,North Carolina,27604,South,Technology,Accessories,47.984,2,0.2,13.1956,8395d489-9ee2-43da-98ef-7fcb19d2e8ba
Standard Class,Consumer,United States,Raleigh,North Carolina,27604,South,Office Supplies,Paper,4.624,1,0.2,1.6762,bf6234bc-7b6b-4ecc-b693-dd2bbc9b464d
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,15.24,3,0.0,5.1816,1b47815c-9565-4fd1-85f7-25b41f20934b
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Binders,63.924,7,0.7,-46.8776,183c4770-c483-44a9-b8af-e1bc7caec8d1
Standard Class,Home Office,United States,Muskogee,Oklahoma,74403,Central,Office Supplies,Art,6.56,2,0.0,1.9024,3d94028a-4505-4667-8451-9aa83a45e1d3
Standard Class,Home Office,United States,Muskogee,Oklahoma,74403,Central,Office Supplies,Appliances,13.11,3,0.0,3.4086,391104a4-1109-4788-877b-c60973944754
First Class,Consumer,United States,Temecula,California,92592,West,Technology,Phones,494.376,3,0.2,49.4376,df75a598-edff-44f2-abf1-463bb95bfa10
First Class,Consumer,United States,Temecula,California,92592,West,Office Supplies,Binders,29.2,5,0.2,9.855,16c06382-d616-44b9-891a-eea86da5fd6f
First Class,Consumer,United States,Temecula,California,92592,West,Technology,Accessories,248.85,5,0.0,27.3735,d56d7ac9-1879-4da1-a9be-8a90e0824117
First Class,Consumer,United States,Temecula,California,92592,West,Technology,Accessories,36.24,1,0.0,15.2208,e5781692-c19f-4acf-8d64-36efe0adc470
Standard Class,Consumer,United States,Sterling Heights,Michigan,48310,Central,Office Supplies,Art,11.68,2,0.0,3.504,a9cc5672-4ca0-4f5d-8635-3ee7e812994a
Standard Class,Consumer,United States,San Diego,California,92024,West,Office Supplies,Supplies,11.91,3,0.0,0.1191,04f17e80-09d9-432d-8da5-e3455b66e794
Standard Class,Consumer,United States,San Diego,California,92024,West,Furniture,Furnishings,3.48,2,0.0,1.1136,be726b43-915a-4eaa-99c2-2f84b92697f8
First Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.96,8,0.8,-52.632,755a1c71-e727-4b87-98f9-2bfd8f82fbdb
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Machines,1704.89,11,0.0,767.2005,b414e26d-f137-445e-a112-1a133c558fbd
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,19.194,7,0.7,-12.796,fc368d5a-104d-436c-bb4a-cc6c5bb50584
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Appliances,121.792,4,0.2,13.7016,a7ce666e-ab37-4ab9-8ea4-02a0a127e22e
Same Day,Corporate,United States,San Francisco,California,94122,West,Technology,Machines,1919.976,3,0.2,215.9973,adda5d1c-9729-4a25-9733-1c823ab5f61b
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,50.997,1,0.7,-40.7976,22366b6c-8f7a-4567-9959-00ce81be6e1c
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage,76.792,1,0.2,-16.3183,4efbbb43-c36f-4515-a0da-f061db688f4e
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,Phones,539.964,6,0.4,-107.9928,682fcfc8-f378-4304-a8fc-dfa21549ab96
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,60.312,3,0.2,5.2773,cf7cb338-99e4-4876-b4fa-4e0c2e3b1295
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,1.944,3,0.7,-1.4256,a0d97267-af77-4a42-b6a6-4b9877615f95
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Office Supplies,Envelopes,12.984,3,0.2,4.7067,40971382-b097-4ea4-8dab-d09a6dd14396
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Technology,Phones,217.584,2,0.2,19.0386,6b66ad6f-1e7e-47e7-af31-f7585040fa53
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Technology,Phones,328.776,3,0.2,28.7679,1a873120-2320-4714-a38b-c469778f1fec
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Office Supplies,Binders,2.286,3,0.8,-3.6576,1a134e50-b8ab-4596-9f69-87f052a61537
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Technology,Accessories,47.984,2,0.2,14.3952,f96b6761-3401-4f81-8a34-589877403350
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,25.344,6,0.2,8.8704,f05eeb02-8ba9-4d84-9b1c-f0ceecc99b90
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,232.4,5,0.2,78.435,4d8e845f-f7c5-4467-84c6-a20a5dacabf0
Second Class,Corporate,United States,Gulfport,Mississippi,39503,South,Furniture,Furnishings,86.45,7,0.0,38.038,2ffee06e-a1cd-492a-81da-1d30ed9e89dd
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Chairs,603.92,5,0.2,45.294,29ebda2a-45cf-4221-a82b-4ad55c0956a0
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,81.98,2,0.0,40.1702,25b96697-6943-419d-a20c-8291a044dcf4
Standard Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Chairs,271.764,2,0.1,48.3136,999072e0-3264-497e-a764-66f063362109
Standard Class,Consumer,United States,Oceanside,New York,11572,East,Office Supplies,Binders,14.376,3,0.2,4.8519,bdb2ad5b-3fd3-4258-8d51-d27e02cb9074
Second Class,Corporate,United States,Round Rock,Texas,78664,Central,Furniture,Furnishings,341.96,5,0.6,-427.45,b273873b-2dc8-420d-8135-80b2d8782ce3
Standard Class,Consumer,United States,Redlands,California,92374,West,Office Supplies,Art,181.35,9,0.0,48.9645,7d59e655-b997-4d18-937d-ba442d2e0467
Standard Class,Consumer,United States,Redlands,California,92374,West,Office Supplies,Labels,8.64,3,0.0,4.2336,189287e9-1172-496e-8001-5e17d3e4ee17
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Office Supplies,Appliances,43.512,7,0.2,3.8073,539f6973-6270-4a46-9389-eea5095dc6a7
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,662.88,3,0.2,74.574,488d78e0-c133-4bd3-8ccb-fc8ad0806b3a
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Office Supplies,Paper,25.92,5,0.2,9.072,db66725e-6fa7-41e4-a608-b7e6e53260f9
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Appliances,68.94,3,0.0,20.682,de110b46-9019-4c0f-828e-6c0193604754
Standard Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,128.82,3,0.0,50.2398,ce865b74-455e-41e9-815c-a1eb0db6692e
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,896.99,5,0.8,-1480.0335,be65ee89-d141-4c49-a430-4454af0a6d1c
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,1.234,1,0.8,-1.9744,7111a589-cf67-47c3-ae1f-826e8f2a3077
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Art,67.56,3,0.2,6.756,68a051e2-90ec-4086-bd98-1372c207fb89
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Paper,21.72,5,0.2,7.8735,886ba86e-06de-41fb-b8a7-063f33b28ef4
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Paper,262.336,8,0.2,95.0968,0aa785a3-84d6-4136-a230-301d36b5ed99
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,148.48,2,0.2,16.704,cafc0ada-9c4c-4041-94c7-b1cfda36143a
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,241.176,3,0.2,15.0735,b8c73d42-6bf1-4908-8c21-b04ab87a8dfa
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Accessories,227.976,3,0.2,28.497,c16f7323-a7d3-4e28-af79-8fdba0ec9f49
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Phones,52.68,3,0.2,19.755,aa9d9d84-b9a1-48b3-9e8e-de005a9f05f7
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,2.032,1,0.6,-1.3208,8ac84824-3b98-4bf0-b772-94954b7fa36a
First Class,Consumer,United States,Oakland,California,94601,West,Office Supplies,Art,17.12,4,0.0,4.9648,aa585bd9-8ebe-45a5-a68e-014806a13cf1
First Class,Consumer,United States,Oakland,California,94601,West,Technology,Phones,431.968,4,0.2,37.7972,1614450e-97d6-4c46-afce-0e48e89de0b1
First Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,129.92,4,0.0,10.3936,69c90f9f-f711-4d39-9b1b-37bdc7f26384
First Class,Consumer,United States,Oakland,California,94601,West,Furniture,Tables,568.728,3,0.2,28.4364,8322a9be-fa7e-45c6-809f-d27249f513d2
First Class,Consumer,United States,Oakland,California,94601,West,Office Supplies,Binders,117.144,9,0.2,42.4647,d8cbaa77-2626-4328-96a4-577cfac123ee
First Class,Consumer,United States,Oakland,California,94601,West,Office Supplies,Appliances,203.52,3,0.0,54.9504,57139f6f-0ce5-48bd-92b8-8160f0f3f10d
First Class,Consumer,United States,Oakland,California,94601,West,Office Supplies,Labels,51.75,5,0.0,24.84,6b98032c-f1ee-44ec-87cc-9df230e4dd13
Second Class,Consumer,United States,Quincy,Massachusetts,2169,East,Office Supplies,Paper,122.97,3,0.0,60.2553,b7362863-93a7-41b9-b02b-a376924f3174
